('Q108941', 'Фишер', 'PERSON')	Pred: ('Q2640102', 'Фишер')
('Q227', 'Азербайджан', 'COUNTRY')	Pred: ('Q227', 'Азербайджан')
('Q2667308', 'Непогода', 'WORK_OF_ART')	Pred: ('Q21109901', 'Непопалов')
('Q37470', 'СБ', 'ORGANIZATION')	Pred: ('Q325186', 'НСБ')
('Q1501800', 'Генеральный директор', 'PROFESSION')	Pred: ('Q1501800', 'Генеральный директор')
('Q69341', 'Volker Bouffier', 'PERSON')	Pred: ('Q9099115', 'Бет')
('Q302893', 'Дирем', 'CITY')	Pred: ('Q1253889', 'Стрем')
('Q43722321', 'Putin Team', 'ORGANIZATION')	Pred: ('Q3701918', 'Иска')
('Q4259359', 'Михаил Юрьевич Лесин', 'PERSON')	Pred: ('Q4259359', 'Михаил Юрьевич Лесин')
('Q446960', 'Джордж Миллер', 'PERSON')	Pred: ('Q408650', 'Джордж Миллер')
('Q36180', 'писатель', 'PROFESSION')	Pred: ('Q16670609', 'Лекарь')
('Q4124226', 'Волчек', 'PERSON')	Pred: ('Q1508082', 'Плачек')
('Q11208', 'Пентагона', 'ORGANIZATION')	Pred: ('Q2407862', 'Американа')
('Q1958711', 'Центральном Академическом театре Российской Армии', 'ORGANIZATION')	Pred: ('Q1958711', 'Центральный Академический Театр Российской Армии')
('Q939743', 'ПАСЕ', 'ORGANIZATION')	Pred: ('Q939743', 'ПАСЕ')
('Q11256', 'Фидель Кастро', 'PERSON')	Pred: ('Q11256', 'Фидель Кастро')
('Q13147738', 'Мэддокса', 'PERSON')	Pred: ('Q3125096', 'Мэдзи')
('Q4201878', 'Института языкознания АН СССР', 'ORGANIZATION')	Pred: ('Q4201878', 'Институт языкознания АН СССР')
('Q186473', 'СФ', 'ORGANIZATION')	Pred: ('Q3331041', 'СФМ')
('Q704389', 'Аваков', 'PERSON')	Pred: ('Q704389', 'Аваков')
('Q4312193', 'Эдуард Назаров', 'PERSON')	Pred: ('Q4312193', 'Эдуард Назаров')
('Q64266', 'курфюрста Пфальца', 'PROFESSION')	Pred: ('Q315710', 'Курфюрст Пфальца')
('Q433067', 'Константина Сомова', 'PERSON')	Pred: ('Q18244614', 'Валентина Костикова')
('Q19607392', 'пресс-секретарь президента России', 'PROFESSION')	Pred: ('Q19607392', 'Пресс-секретарь президента России')
('Q6259288', 'Юлию Самойлову', 'PERSON')	Pred: ('Q39083245', 'Юлиана Тельман')
('Q159', 'РФ', 'COUNTRY')	Pred: ('Q1968051', 'СП РФ')
('Q186360', 'медсестра', 'PROFESSION')	Pred: ('Q1184841', 'Сирач')
('Q754732', 'Шейди Сайд', 'LOCATION')	Pred: ('Q437222', 'Халли Тодд')
('Q163830', 'Ип Мана', 'PERSON')	Pred: ('Q4203003', 'Иппанна')
('Q918', 'Твиттер', 'PRODUCT')	Pred: ('Q918', 'Твиттер')
('Q100906723', "главой ''Samsung Group''", 'PROFESSION')	Pred: ('Q20746718', 'Чаур')
('Q133274', 'кремлёвский', 'ORGANIZATION')	Pred: ('Q727947', 'Рублёвский')
('Q1480', 'Корасон Конхуангко', 'PERSON')	Pred: ('Q1195290', 'Короккэ')
('Q23105', 'Стаффордшир', 'STATE_OR_PROVINCE')	Pred: ('Q23105', 'Стаффордшир')
('Q1461', 'Манилы', 'CITY')	Pred: ('Q4280453', 'Манилы')
('Q1492', 'Barcelona', 'CITY')	Pred: ('Q1492', 'Барселона')
('Q4222062', 'Дмитрий Киселёв', 'PERSON')	Pred: ('Q4222062', 'Дмитрий Киселёв')
('Q186162', 'Травиата', 'WORK_OF_ART')	Pred: ('Q1056912', 'Травиата')
('Q5470', 'Чебоксарах', 'CITY')	Pred: ('Q84196', 'Чебоксар')
('Q6259', 'Павия', 'CITY')	Pred: ('Q16231', 'Павия')
('Q83557', 'Николаем Басовым', 'PERSON')	Pred: ('Q2833488', 'Александр Боро')
('Q181376', 'Гродно', 'CITY')	Pred: ('Q27049', 'Гродно')
('Q207', 'Джордж Уокер Буш', 'PERSON')	Pred: ('Q207', 'Джордж Уокер Буш')
('Q7614320', 'Министр финансов', 'PROFESSION')	Pred: ('Q2672728', 'Президент Ганы')
('Q4172847', 'филиппинского', 'NATIONALITY')	Pred: ('Q51613', 'Послание к филиппийцам')
('Q51067', 'Ленинской премии', 'AWARD')	Pred: ('Q10539512', 'Ленинская премия')
('Q36180', 'писателей', 'PROFESSION')	Pred: ('Q4157199', 'Дело писателей')
('Q7614320', 'министра финансов', 'PROFESSION')	Pred: ('Q14212', 'Первый министр')
('Q44602', 'президентский пост', 'PROFESSION')	Pred: ('Q7742680', 'Островной президент')
('Q11774891', 'хоккеист', 'PROFESSION')	Pred: ('Q3203593', 'Жестокое обращение')
('Q208233', 'Японии', 'COUNTRY')	Pred: ('Q332075', 'Закрытие Японии')
('Q253410', 'чувашской', 'NATIONALITY')	Pred: ('Q341323', 'Чешское радио')
('Q668', 'Индия', 'COUNTRY')	Pred: ('Q668', 'Индия')
('Q239951', 'Мерец', 'ORGANIZATION')	Pred: ('Q239951', 'Мерец')
('Q842386', 'российского премьера', 'PROFESSION')	Pred: ('Q30898012', 'День кино в Иране')
('Q3503829', 'Сундар Пичаи', 'PERSON')	Pred: ('Q3503829', 'Сундар Пичаи')
('Q4402361', 'Кузя УО', 'PERSON')	Pred: ('Q4402361', 'Кузя УО')
('Q4219653', 'Кернес', 'PERSON')	Pred: ('Q4219653', 'Кернес')
('Q898', 'Омске', 'CITY')	Pred: ('Q17494762', 'Ремки')
('Q208487', 'премьер-министр Израиля', 'PROFESSION')	Pred: ('Q208487', 'Премьер-министр Израиля')
('Q433067', 'Константин Сомов', 'PERSON')	Pred: ('Q433067', 'Константин Сомов')
('Q2356011', 'Юрий Антонов', 'PERSON')	Pred: ('Q2356011', 'Юрий Антонов')
('Q193722', 'Сергиев Посад', 'CITY')	Pred: ('Q4417039', 'Сергиев Посад')
('Q30487', 'Михаил Горбачёв', 'PERSON')	Pred: ('Q30487', 'Михаил Горбачёв')
('Q30029029', 'Понте-Сан-Пьетро', 'CITY')	Pred: ('Q101426', 'Понте-Сан-Пьетро')
('Q640529', 'Боб Дилан', 'PERSON')	Pred: ('Q392', 'Боб Дилан')
('Q5482740', 'программиста', 'PROFESSION')	Pred: ('Q4456828', 'Шестая программа')
('Q866', 'YouTube', 'ORGANIZATION')	Pred: ('Q4369001', 'Пока')
('Q819179', 'Сент-Эндрюс', 'FACILITY')	Pred: ('Q207736', 'Сент-Эндрюс')
('Q862058', 'Внутренняя империя', 'WORK_OF_ART')	Pred: ('Q862058', 'Внутренняя империя')
('Q4333889', 'олимпийским чемпионам', 'AWARD')	Pred: ('Q4333889', 'Олимпийский чемпион')
('Q12305275', 'Соннинга', 'PERSON')	Pred: ('Q239883', 'Санга')
('Q58024', 'eBay', 'ORGANIZATION')	Pred: ('Q4121172', 'Рас')
('Q19908572', 'Московском научно-исследовательском институте глазных болезней', 'ORGANIZATION')	Pred: ('Q32361851', 'Научно-исследовательский институт глазных болезней')
('Q191', 'Эстонии', 'COUNTRY')	Pred: ('Q1410778', 'Экономика Эстонии')
('Q40348', 'адвокаты', 'PROFESSION')	Pred: ('Q40348', 'Адвокаты')
('Q855091', 'гитарист', 'PROFESSION')	Pred: ('Q855091', 'Гитарист')
('Q116', 'Королева', 'PROFESSION')	Pred: ('Q223367', 'Королева')
('Q140686', 'президентом', 'PROFESSION')	Pred: ('Q2672728', 'Президент Ганы')
('Q5933', 'Вестминстерском аббатстве', 'FACILITY')	Pred: ('Q5933', 'Вестминстерское аббатство')
('Q792834', 'Гаяза Исхаки', 'PERSON')	Pred: ('Q792834', 'Исхаки Гаяз')
('Q3555636', 'главы республики', 'PROFESSION')	Pred: ('Q2269818', 'Сенат республики')
('Q883', 'Новосибирск', 'CITY')	Pred: ('Q1328849', 'Новосибирск')
('Q55437375', 'мирный договор', 'LAW')	Pred: ('Q699271', 'Венский мирный договор')
('Q35', 'Дании', 'COUNTRY')	Pred: ('Q1748', 'Столица Дании')
('Q60990917', 'Ватанабэ', 'PERSON')	Pred: ('Q10863332', 'Окабэ')
('Q2252262', 'рэпера', 'PROFESSION')	Pred: ('Q6350757', 'Арлак')
('Q5322166', 'дизайнер', 'PROFESSION')	Pred: ('Q476697', 'Анализ ДНК')
('Q22686', 'Трампа', 'PERSON')	Pred: ('Q22686', 'Трамп')
('Q7614320', 'Министру финансов', 'PROFESSION')	Pred: ('Q4476368', 'Управление делами президента')
('Q455854', 'Реувен Ривлин', 'PERSON')	Pred: ('Q455854', 'Реувен Ривлин')
('Q42313351', 'Morir al lado de mi amor', 'WORK_OF_ART')	Pred: ('Q4535665', 'Я вас любил')
('Q1971214', 'золотой медалью', 'AWARD')	Pred: ('Q847956', 'Серебряная медаль')
('Q94659482', 'Дубенский филиал Государственного бюджетного учреждения культуры «Мордовский республиканский объединенный краеведческий музей имени И.\xa0Д.\xa0Воронина', 'ORGANIZATION')	Pred: ('Q4302553', 'Мордовский республиканский объединенный краеведческий музей')
('Q329805', 'Всё о моей матери', 'WORK_OF_ART')	Pred: ('Q329805', 'Всё о моей матери')
('Q640529', 'Роберт Аллен Циммерман', 'PERSON')	Pred: ('Q392', 'Роберт Аллен Циммерман')
('Q4302553', 'Государственного бюджетного учреждения культуры «Мордовский республиканский объединенный краеведческий музей имени И.\xa0Д.\xa0Воронина', 'ORGANIZATION')	Pred: ('Q4204460', 'Историко-краеведческий народный музей г. Волосово')
('Q47213', 'Уоррен Баффет', 'PERSON')	Pred: ('Q47213', 'Уоррен Баффет')
('Q14211', 'Британского премьера', 'PROFESSION')	Pred: ('Q1323689', 'Кинофестиваль в Лондоне')
('Q66107', 'Генри Киссинджером', 'PERSON')	Pred: ('Q66107', 'Генри Киссинджер')
('Q1276', 'Леонард', 'PERSON')	Pred: ('Q448478', 'Леонард')
('Q15096', 'Верчелли', 'STATE_OR_PROVINCE')	Pred: ('Q5990', 'Верчелли')
('Q228801', 'Макаллоу', 'PERSON')	Pred: ('Q2637909', 'Мауналоа')
('Q258586', 'Надин Доррис', 'PERSON')	Pred: ('Q2623681', 'Натина Рид')
('Q355113', 'Сотникову', 'PERSON')	Pred: ('Q4429864', 'Сотниковка')
('Q33999', 'актрису', 'PROFESSION')	Pred: ('Q1052080', 'Касу')
('Q2066131', 'спортсменка', 'PROFESSION')	Pred: ('Q546470', 'Стометровка')
('Q21186618', 'Goodbye My Love', 'WORK_OF_ART')	Pred: ('Q212387', 'Я Вас люблю')
('Q245194', 'Двенадцать стульев', 'WORK_OF_ART')	Pred: ('Q245194', 'Двенадцать стульев')
('Q1196645', 'канадская', 'NATIONALITY')	Pred: ('Q3416010', 'Канадская')
('Q159', 'Россия', 'COUNTRY')	Pred: ('Q211511', 'Россия')
('Q771', 'Массачусетского', 'STATE_OR_PROVINCE')	Pred: ('Q1453540', 'Генеральный совет Массачусетса')
('Q1697', 'подмосковного', 'STATE_OR_PROVINCE')	Pred: ('Q4367887', 'Подмосковная')
('Q956', 'Пекин', 'CITY')	Pred: ('Q821023', 'Пекин')
('Q128736', 'Джону', 'PERSON')	Pred: ('Q128506', 'Джонт')
('Q46', 'Европе', 'LOCATION')	Pred: ('Q3143', 'Европа')
('Q11812508', 'Глава Киева', 'PROFESSION')	Pred: ('Q4222754', 'Киева')
('Q40855', 'Днепр', 'LOCATION')	Pred: ('Q48256', 'Днепр')
('Q1463', 'Фердинанда Маркоса', 'PERSON')	Pred: ('Q2699502', 'Фернанду Варела')
('Q677207', 'Берлине', 'CITY')	Pred: ('Q761641', 'За взятие Берлина')
('Q48', 'Азии', 'LOCATION')	Pred: ('Q4058313', 'Азиев')
('Q2928497', 'федеральная прокуратура Бельгии', 'ORGANIZATION')	Pred: ('Q7217335', 'Политическая структура Бельгии')
('Q118398', 'arXiv.org', 'PRODUCT')	Pred: ('Q1063254', 'Сегодня.юа')
('Q83307', 'министра', 'PROFESSION')	Pred: ('Q4168620', 'Друг')
('Q1718', 'Дюссельдорфе', 'CITY')	Pred: ('Q1718', 'Дюссельдорф')
('Q35525', 'Белого дома', 'ORGANIZATION')	Pred: ('Q4089799', 'Богоявление')
('Q381002', 'Флорес', 'PERSON')	Pred: ('Q150370', 'Флорес')
('Q7325', 'евреев', 'NATIONALITY')	Pred: ('Q146799', 'Конституция')
('Q794028', 'Консервативная народная партия Эстонии', 'ORGANIZATION')	Pred: ('Q794028', 'Консервативная народная партия Эстонии')
('Q56876342', 'лидера КНДР', 'PROFESSION')	Pred: ('Q240670', 'ВС КНДР')
('Q11613', 'Гарри Трумэна', 'PERSON')	Pred: ('Q11613', 'Гарри Трумэн')
('Q1022491', 'Вишнево', 'CITY')	Pred: ('Q1022491', 'Вишнево')
('Q4218339', 'Кащенко', 'PERSON')	Pred: ('Q4467238', 'Тыщенко')
('Q4139088', 'мэра Челябинска', 'PROFESSION')	Pred: ('Q4139088', 'Глава Челябинска')
('Q1162163', 'директором', 'PROFESSION')	Pred: ('Q16471297', 'Букис')
('Q1665033', 'Институте мировой экономики и международных отношений АН СССР', 'ORGANIZATION')	Pred: ('Q1665033', 'Институт мировой экономики и международных отношений АН СССР')
('Q3428253', 'Школу лётчиков-испытателей ВВС США', 'ORGANIZATION')	Pred: ('Q55149460', 'Школа лётчиков-испытателей')
('Q1329623', 'Доме Культуры', 'FACILITY')	Pred: ('Q4398138', 'Советский Фонд культуры')
('Q1208997', 'Народная артистка', 'AWARD')	Pred: ('Q1208997', 'Народная артистка')
('Q3724649', 'Эмма', 'PERSON')	Pred: ('Q223880', 'Эмма')
('Q1371925', 'диктором', 'PROFESSION')	Pred: ('Q541996', 'Роклор')
('Q156379', 'Юрий Лужков', 'PERSON')	Pred: ('Q156379', 'Юрий Лужков')
('Q297736', 'Евтушенко', 'PERSON')	Pred: ('Q937899', 'Евтушенко')
('Q1741', 'Вены', 'CITY')	Pred: ('Q9609', 'Вены')
('Q131499', 'Бенфики', 'ORGANIZATION')	Pred: ('Q23091832', 'Бендори')
('Q32273', 'Цветы', 'ORGANIZATION')	Pred: ('Q506', 'Цветы')
('Q639669', 'музыкантов', 'PROFESSION')	Pred: ('Q4127538', 'Союз поэтов')
('Q249159', 'Ротова', 'PERSON')	Pred: ('Q1993001', 'Ротова')
('Q3621491', 'археолог', 'PROFESSION')	Pred: ('Q4810627', 'Хазра')
('Q3406815', 'бульвару Шевченко', 'FACILITY')	Pred: ('Q4207226', 'Бульвар Киквидзе')
('Q483501', 'артисте', 'PROFESSION')	Pred: ('Q1615700', 'Хессе')
('Q212963', 'Сэмюэль Адамс', 'PERSON')	Pred: ('Q212963', 'Адамс Сэмюэль')
('Q37470', 'Совбеза', 'ORGANIZATION')	Pred: ('Q4338263', 'Осов')
('Q25369', 'Коби Бин Брайант', 'PERSON')	Pred: ('Q25369', 'Коби Бин Брайант')
('Q12795878', 'Марьяном Шарецом', 'PERSON')	Pred: ('Q2959908', 'Шарль Обе')
('Q640529', 'Бобу Дилану', 'PERSON')	Pred: ('Q621664', 'Луи Бурдалу')
('Q166877', 'австрийского императора', 'PROFESSION')	Pred: ('Q18577504', 'Византийский император')
('Q4422569', 'скрипчём', 'PROFESSION')	Pred: ('Q18278434', 'Сыпачёв')
('Q26204040', 'Замминистра', 'PROFESSION')	Pred: ('Q2365600', 'Глава кабинета')
('Q28417415', 'Масадзо Нонака', 'PERSON')	Pred: ('Q28417415', 'Масадзо Нонака')
('Q1092499', 'прокуратуру', 'ORGANIZATION')	Pred: ('Q6363198', 'Каниксу')
('Q1477512', 'МИИТ', 'ORGANIZATION')	Pred: ('Q1477512', 'МИИТ')
('Q1365125', 'Harvard Law Review', 'ORGANIZATION')	Pred: ('Q33456', 'Основание степени')
('Q5470', 'Чебоксары', 'CITY')	Pred: ('Q5470', 'Чебоксары')
('Q744261', 'Украинского фронта', 'ORGANIZATION')	Pred: ('Q744261', 'Украинский фронт')
('Q414864', 'советских', 'COUNTRY')	Pred: ('Q9377431', 'Войско польское')
('Q215419', 'АЭС', 'FACILITY')	Pred: ('Q134447', 'АЭС')
('Q22686', 'Дональда Трампа', 'PERSON')	Pred: ('Q15499685', 'Полин Дональда')
('Q127856', 'Беверли-Хиллз', 'DISTRICT')	Pred: ('Q18988434', 'Беверли-Хиллз')
('Q317824', 'Ким Чен Нама', 'PERSON')	Pred: ('Q17349905', 'Ким Кун Су')
('Q19399742', 'член Совета Федерации', 'PROFESSION')	Pred: ('Q4516946', 'Члены Совета Федерации')
('Q105221963', 'департамента полиции', 'ORGANIZATION')	Pred: ('Q4158556', 'Департамент государственной полиции')
('Q46809', 'Раулю', 'PERSON')	Pred: ('Q4390897', 'Рау')
('Q85504174', 'Лю Чжимин', 'PERSON')	Pred: ('Q21540401', 'Ши Чжиюн')
('Q2776042', 'бельгийская полиция', 'ORGANIZATION')	Pred: ('Q22866', 'Аустрия')
('Q1028181', 'художником', 'PROFESSION')	Pred: ('Q4426483', 'Советский художник')
('Q9334029', 'сатирика', 'PROFESSION')	Pred: ('Q41040', 'Априка')
('Q146667', 'Стретем', 'DISTRICT')	Pred: ('Q146667', 'Стретем')
('Q17908323', 'Арапова', 'PERSON')	Pred: ('Q4068559', 'Арапово')
('Q47246', 'эрзянского', 'NATIONALITY')	Pred: ('Q757139', 'Эргинская')
('Q94952743', 'Москва', 'ORGANIZATION')	Pred: ('Q186614', 'Москва')
('Q7257402', 'Public Health England', 'ORGANIZATION')	Pred: ('Q4105523', 'Ваши')
('Q384593', 'полицейские', 'PROFESSION')	Pred: ('Q60481458', 'Модель полицейских участков')
('Q161652', 'японские', 'NATIONALITY')	Pred: ('Q1480213', 'Японские частицы')
('Q4376657', 'председателем Совета Союза Верховного Совета СССР', 'PROFESSION')	Pred: ('Q923434', 'Совет Союза Верховного Совета СССР')
('Q7779', 'СНГ', 'ORGANIZATION')	Pred: ('Q7779', 'СНГ')
('Q1971979', 'Маяк', 'ORGANIZATION')	Pred: ('Q39715', 'Маяк')
('Q582289', 'Дзёэцу', 'CITY')	Pred: ('Q582289', 'Дзёэцу')
('Q7188', 'Правительство', 'ORGANIZATION')	Pred: ('Q7188', 'Правительство')
('Q27330121', 'короля Таиланда', 'PROFESSION')	Pred: ('Q716301', 'Кароль Сидон')
('Q30461', 'президенту', 'PROFESSION')	Pred: ('Q10952715', 'Ойу')
('Q9292', 'азербайджанском', 'LANGUAGE')	Pred: ('Q274536', 'Азербейджан')
('Q4452511', 'Татарском государственном академическом театре имени Г. Камала', 'ORGANIZATION')	Pred: ('Q4452511', 'Татарский театр имени Г. Камала')
('Q6122670', 'маори', 'NATIONALITY')	Pred: ('Q6745623', 'Мамет')
('Q639669', 'музыкантами', 'PROFESSION')	Pred: ('Q366098', 'Хоры')
('Q289727', 'Мандельштама', 'PERSON')	Pred: ('Q1100560', 'Мандельштам')
('Q2360835', 'Строгановское художественно-промышленное училище', 'ORGANIZATION')	Pred: ('Q2360835', 'Строгановское художественно-промышленное училище')
('Q60', 'Нью-Йорка', 'CITY')	Pred: ('Q60', 'Нью-Йорк')
('Q946428', 'Александро-Невской Лавры', 'FACILITY')	Pred: ('Q2272835', 'Некрополь Александро-Невской лавры')
('Q2459921', 'Сергей Михалок', 'PERSON')	Pred: ('Q2459921', 'Сергей Михалок')
('Q45758', 'Премьер-министр Словении', 'PROFESSION')	Pred: ('Q45758', 'Премьер-министр Словении')
('Q730242', 'лётчика-испытателя', 'PROFESSION')	Pred: ('Q4188026', 'Заслуженный лётчик-испытатель СССР')
('Q33511', "'Rolling Stone", 'ORGANIZATION')	Pred: ('Q376141', 'Холтон')
('Q24543', 'Университета Помпеу и Фабра', 'ORGANIZATION')	Pred: ('Q18341', 'Альба Помпея')
('Q41583', 'Всероссийских соревнованиях по спортивной гимнастике «Олимпийские надежды', 'EVENT')	Pred: ('Q4127600', 'Всесоюзные зимние соревнования по волейболу')
('Q35565', 'татарского', 'NATIONALITY')	Pred: ('Q816141', 'Белорусская')
('Q983927', 'Майор', 'PROFESSION')	Pred: ('Q13553889', 'Майор')
('Q35637', 'Нобелевская премия мира', 'AWARD')	Pred: ('Q35637', 'Нобелевская премия мира')
('Q733786', 'монахинь', 'PROFESSION')	Pred: ('Q2532089', 'Ангели')
('Q2808', 'Элтон Джон', 'PERSON')	Pred: ('Q2808', 'Элтон Джон')
('Q708130', 'Георгия Бооса', 'PERSON')	Pred: ('Q1523607', 'Георгий Бокерия')
('Q1146480', 'ARENA', 'ORGANIZATION')	Pred: ('Q16511424', 'Слуп')
('null', 'председатель правления Нобелевского фонда', 'PROFESSION')	Pred: ('Q12002092', 'Общественное призрение')
('Q2984911', 'Верховный административный суд Греции', 'ORGANIZATION')	Pred: ('Q2984911', 'Верховный административный суд Греции')
('Q7330070', 'министром иностранных дел', 'PROFESSION')	Pred: ('Q2507583', 'Министр иностранных дел США')
('Q8333', 'Федерального бюро расследований', 'ORGANIZATION')	Pred: ('Q16697654', 'Государственное бюро расследований')
('Q9134365', 'Королева Великобритании', 'PROFESSION')	Pred: ('Q4869954', 'Королева Великобритании')
('Q290441', 'УДАР', 'ORGANIZATION')	Pred: ('Q290441', 'УДАР')
('Q19705', 'УК', 'LAW')	Pred: ('Q4261265', 'УК Лидер')
('Q31057', 'Норфолк', 'LOCATION')	Pred: ('Q23109', 'Норфолк')
('Q503176', 'Christie’s', 'ORGANIZATION')	Pred: ('Q376693', 'Гермы')
('Q1130457', 'ВГИК', 'ORGANIZATION')	Pred: ('Q1130457', 'ВГИК')
('Q649', 'Москва', 'CITY')	Pred: ('Q186614', 'Москва')
('Q5332', 'Саратовской', 'CITY')	Pred: ('Q1067945', 'Саратовский')
('Q1667613', 'Международный трибунал', 'ORGANIZATION')	Pred: ('Q1667613', 'Международный военный трибунал')
('Q241', 'Кубу', 'COUNTRY')	Pred: ('Q6441341', 'Кубу')
('Q17507', 'Жерара Пике', 'PERSON')	Pred: ('Q17507', 'Жерар Пике')
('Q61', 'Вашингтона', 'CITY')	Pred: ('Q112385', 'Вашингтония')
('Q14318', 'Витории-Гастейс', 'CITY')	Pred: ('Q229093', 'Вирхиния Руано-Паскуаль')
('Q466546', 'Зыкина', 'PERSON')	Pred: ('Q466546', 'Зыкина')
('Q57410', 'Шимон Перский', 'PERSON')	Pred: ('Q16720404', 'Шишкин Александр')
('Q66416482', 'Костенок', 'PERSON')	Pred: ('Q22919612', 'Силенок')
('Q173834', 'Олега Попова', 'PERSON')	Pred: ('Q12282755', 'Катя Попова')
('Q15686806', 'сенатор', 'PROFESSION')	Pred: ('Q1664151', 'Види')
('Q432386', 'проповедник', 'PROFESSION')	Pred: ('Q4089003', 'Боганик')
('Q181568', 'Иван Айвазовский', 'PERSON')	Pred: ('Q181568', 'Иван Айвазовский')
('Q253414', 'Международная федерация футбольных ассоциаций', 'ORGANIZATION')	Pred: ('Q253414', 'Международная федерация футбольных ассоциаций')
('Q1432360', 'Президентской библиотеки Рональда Рейгана', 'ORGANIZATION')	Pred: ('Q1432360', 'Президентская библиотека Рональда Рейгана')
('Q77864630', 'Нааму Иссахар', 'PERSON')	Pred: ('Q1977082', 'Азулаи Авраам')
('Q11691648', 'Maestro', 'PERSON')	Pred: ('Q200', 'Два')
('Q36153', 'Бейонсе', 'PERSON')	Pred: ('Q36153', 'Бейонсе')
('Q29', 'испанской', 'COUNTRY')	Pred: ('Q1327022', 'Испанская культура')
('Q88963159', 'Angelo Rottoli', 'PERSON')	Pred: ('Q16059982', 'Валерио Конти')
('Q4259359', 'Михаила Лесина', 'PERSON')	Pred: ('Q24529738', 'Антонова Мария')
('Q27231683', 'Spirit', 'WORK_OF_ART')	Pred: ('Q1098', 'Уран')
('Q49206', 'университета Коннектикута', 'ORGANIZATION')	Pred: ('Q49206', 'Университет Коннектикута')
('Q589298', 'главный редактор', 'PROFESSION')	Pred: ('Q742097', 'Ночной редактор')
('Q1140115', 'Правительства РФ', 'ORGANIZATION')	Pred: ('Q1140115', 'Правительства РФ')
('Q758861', 'Государственная премия СССР', 'AWARD')	Pred: ('Q758861', 'Государственная премия СССР')
('Q3455803', 'режиссёрском', 'PROFESSION')	Pred: ('Q1757008', 'Второй режиссёр')
('Q842386', 'председателя правительства РФ', 'PROFESSION')	Pred: ('Q842386', 'Председатель правительства РФ')
('Q253410', 'чувашского', 'NATIONALITY')	Pred: ('Q21126293', 'Гоцинский')
('Q30185', 'Мэр', 'PROFESSION')	Pred: ('Q1538755', 'Мэр')
('Q1899', 'столице Украины', 'CITY')	Pred: ('Q200209', 'Список городов Украины')
('Q464791', 'Елена Васильевна Образцова', 'PERSON')	Pred: ('Q464791', 'Елена Васильевна Образцова')
('Q69997210', 'Азата Мифтахова', 'PERSON')	Pred: ('Q357612', 'Мехта Адита')
('Q7166256', 'первая леди США', 'PROFESSION')	Pred: ('Q1816883', 'Список первых леди США')
('Q42904', 'Дима Билан', 'PERSON')	Pred: ('Q42904', 'Дима Билан')
('Q639669', 'Музыкант', 'PROFESSION')	Pred: ('Q840297', 'Музыкант')
('Q47423', 'Генассамблея', 'ORGANIZATION')	Pred: ('Q1003921', 'Дуассен')
('Q181568', 'Иваном Айвазовским', 'PERSON')	Pred: ('Q181568', 'Иван Айвазовский')
('Q159', 'российской', 'COUNTRY')	Pred: ('Q1413358', 'Россия 88')
('Q244865', 'Чемпион', 'WORK_OF_ART')	Pred: ('Q852061', 'Чемпион')
('Q157144', 'Винница', 'CITY')	Pred: ('Q2324340', 'Винница')
('Q6055547', 'Зал славы Интернета', 'AWARD')	Pred: ('Q6055547', 'Зал славы Интернета')
('Q33999', 'актрисой', 'PROFESSION')	Pred: ('Q27452576', 'Васой')
('Q4448754', 'Гнесиных', 'PERSON')	Pred: ('Q372040', 'Институт Гнесиных')
('Q131512', 'фермеров', 'PROFESSION')	Pred: ('Q137280', 'Бобовые')
('Q41675', 'Книгой рекордов Гиннеса', 'ORGANIZATION')	Pred: ('Q41675', 'Книга рекордов Гиннеса')
('Q1081714', 'Владимир Машков', 'PERSON')	Pred: ('Q765970', 'Владимир Мальков')
('Q875', 'Абакане', 'CITY')	Pred: ('Q304976', 'Абакалики')
('Q152802', 'Бухенвальд', 'FACILITY')	Pred: ('Q152802', 'Бухенвальд')
('Q5481', 'Татарстану', 'STATE_OR_PROVINCE')	Pred: ('Q13207321', 'Президент Татарстана')
('Q2177054', 'Московского института театрального искусства имени А.В. Луначарского', 'ORGANIZATION')	Pred: ('Q12151419', 'Севастопольский академический русский драматический театр им. А. В. Луначарского')
('Q419', 'Перуанский', 'COUNTRY')	Pred: ('Q28500290', 'Перуанский')
('Q450675', 'Франциску', 'PERSON')	Pred: ('Q3709207', 'Кассеус Франц')
('Q837416', 'коалиционный кабинет министров', 'ORGANIZATION')	Pred: ('Q2602792', 'Глава кабинета министров Аргентины')
('Q217563', 'База ВВС Эдвардс', 'ORGANIZATION')	Pred: ('Q131433', 'Эйлин Эдвардс')
('Q184566', 'Таунс', 'PERSON')	Pred: ('Q503538', 'Таунс')
('Q42308', 'Харьков', 'CITY')	Pred: ('Q2492784', 'Харьков')
('Q321022', 'Национал-большевистской партии', 'ORGANIZATION')	Pred: ('Q321022', 'Национал-большевистская партия')
('Q574192', 'Гринвилле', 'CITY')	Pred: ('Q574192', 'Гринвилл')
('Q60763794', 'Андрей Бертончель', 'PERSON')	Pred: ('Q3635022', 'Барджиль')
('Q1355654', 'Высшей партийной школе', 'ORGANIZATION')	Pred: ('Q1355654', 'Высшая партийная школа')
('Q649', 'Московский', 'CITY')	Pred: ('Q159261', 'Московский')
('Q241', 'кубинской', 'COUNTRY')	Pred: ('Q4534532', 'Юнговская')
('Q1537445', 'докеров', 'PROFESSION')	Pred: ('Q60694732', 'Мекеров')
('Q129677', 'Чернобыльской', 'CITY')	Pred: ('Q129677', 'Чернобыль')
